Distance (km),Time (s),Velocity (km/h),Power (MW),Acceleration (m/s²)
0.000,0.00,0.000,0.000,0.000
0.000,1.00,2.160,0.000,0.600
0.001,2.00,4.320,0.186,0.600
0.003,3.00,6.480,0.372,0.600
0.005,4.00,8.640,0.558,0.600
0.007,5.00,10.800,0.744,0.600
0.011,6.00,12.960,0.930,0.600
0.015,7.00,15.120,1.116,0.600
0.019,8.00,17.280,1.302,0.600
0.024,9.00,19.440,1.488,0.600
0.030,10.00,21.367,1.500,0.535
0.036,11.00,23.114,1.500,0.485
0.043,12.00,24.722,1.500,0.447
0.050,13.00,26.221,1.500,0.416
0.057,14.00,27.629,1.500,0.391
0.065,15.00,28.962,1.500,0.370
0.073,16.00,30.229,1.500,0.352
0.082,17.00,31.440,1.500,0.336
0.091,18.00,32.600,1.500,0.322
0.100,19.00,33.716,1.500,0.310
0.110,20.00,34.793,1.500,0.299
0.119,21.00,35.833,1.500,0.289
0.130,22.00,36.840,1.500,0.280
0.140,23.00,37.818,1.500,0.271
0.151,24.00,38.767,1.500,0.264
0.161,25.00,39.691,1.500,0.257
0.173,26.00,40.592,1.500,0.250
0.184,27.00,41.470,1.500,0.244
0.196,28.00,42.327,1.500,0.238
0.207,29.00,43.165,1.500,0.233
0.220,30.00,43.985,1.500,0.228
0.232,31.00,44.788,1.500,0.223
0.244,32.00,45.575,1.500,0.218
0.257,33.00,46.346,1.500,0.214
0.270,34.00,47.102,1.500,0.210
0.283,35.00,47.845,1.500,0.206
0.297,36.00,48.574,1.500,0.203
0.310,37.00,49.291,1.500,0.199
0.324,38.00,49.996,1.500,0.196
0.338,39.00,50.689,1.500,0.193
0.352,40.00,51.372,1.500,0.190
0.367,41.00,52.043,1.500,0.187
0.381,42.00,52.705,1.500,0.184
0.396,43.00,53.357,1.500,0.181
0.411,44.00,53.999,1.500,0.178
0.426,45.00,54.633,1.500,0.176
0.441,46.00,55.257,1.500,0.174
0.457,47.00,55.874,1.500,0.171
0.472,48.00,56.482,1.500,0.169
0.488,49.00,57.082,1.500,0.167
0.504,50.00,57.675,1.500,0.165
0.520,51.00,58.260,1.500,0.163
0.536,52.00,58.838,1.500,0.161
0.553,53.00,59.409,1.500,0.159
0.569,54.00,59.974,1.500,0.157
0.586,55.00,60.532,1.500,0.155
0.603,56.00,61.083,1.500,0.153
0.620,57.00,61.629,1.500,0.152
0.637,58.00,62.168,1.500,0.150
0.655,59.00,62.702,1.500,0.148
0.672,60.00,63.230,1.500,0.147
0.690,61.00,63.752,1.500,0.145
0.707,62.00,64.269,1.500,0.144
0.725,63.00,64.781,1.500,0.142
0.743,64.00,65.287,1.500,0.141
0.762,65.00,65.789,1.500,0.139
0.780,66.00,66.285,1.500,0.138
0.798,67.00,66.777,1.500,0.137
0.817,68.00,67.264,1.500,0.135
0.836,69.00,67.747,1.500,0.134
0.855,70.00,68.225,1.500,0.133
0.874,71.00,68.699,1.500,0.132
0.893,72.00,69.168,1.500,0.130
0.912,73.00,69.634,1.500,0.129
0.932,74.00,70.095,1.500,0.128
0.951,75.00,70.552,1.500,0.127
0.971,76.00,71.005,1.500,0.126
0.991,77.00,71.454,1.500,0.125
1.010,78.00,71.900,1.500,0.124
1.031,79.00,72.342,1.500,0.123
1.051,80.00,72.780,1.500,0.122
