Distance (km),Time (s),Velocity (km/h),Power (MW),Acceleration (m/s²)
0.000,0.00,0.000,0.000,0.000
0.000,1.00,2.916,0.000,0.810
0.002,2.00,5.832,0.279,0.810
0.004,3.00,8.748,0.557,0.810
0.006,4.00,11.664,0.836,0.810
0.010,5.00,14.580,1.114,0.810
0.015,6.00,17.496,1.393,0.810
0.020,7.00,20.412,1.672,0.810
0.026,8.00,23.328,1.951,0.810
0.033,9.00,26.149,2.159,0.784
0.040,10.00,28.658,2.159,0.697
0.049,11.00,30.940,2.159,0.634
0.058,12.00,33.047,2.159,0.585
0.067,13.00,35.015,2.159,0.547
0.077,14.00,36.867,2.159,0.514
0.087,15.00,38.621,2.159,0.487
0.098,16.00,40.292,2.159,0.464
0.110,17.00,41.890,2.159,0.444
0.122,18.00,43.423,2.159,0.426
0.134,19.00,44.899,2.159,0.410
0.147,20.00,46.323,2.159,0.396
0.160,21.00,47.700,2.159,0.383
0.173,22.00,49.034,2.159,0.371
0.187,23.00,50.330,2.159,0.360
0.201,24.00,51.589,2.159,0.350
0.216,25.00,52.815,2.159,0.341
0.230,26.00,54.010,2.159,0.332
0.246,27.00,55.176,2.159,0.324
0.261,28.00,56.315,2.159,0.316
0.277,29.00,57.429,2.159,0.309
0.293,30.00,58.519,2.159,0.303
0.309,31.00,59.586,2.159,0.297
0.326,32.00,60.632,2.159,0.291
0.343,33.00,61.658,2.159,0.285
0.360,34.00,62.665,2.159,0.280
0.378,35.00,63.654,2.159,0.275
0.396,36.00,64.625,2.159,0.270
0.414,37.00,65.580,2.159,0.265
0.432,38.00,66.519,2.159,0.261
0.451,39.00,67.443,2.159,0.257
0.470,40.00,68.353,2.159,0.253
0.489,41.00,69.248,2.159,0.249
0.508,42.00,70.131,2.159,0.245
0.528,43.00,71.000,2.159,0.242
0.548,44.00,71.857,2.159,0.238
0.568,45.00,72.702,2.159,0.235
0.588,46.00,73.536,2.159,0.232
0.608,47.00,74.359,2.159,0.228
0.629,48.00,75.170,2.159,0.226
0.650,49.00,75.972,2.159,0.223
0.671,50.00,76.763,2.159,0.220
0.693,51.00,77.545,2.159,0.217
0.714,52.00,78.317,2.159,0.215
0.736,53.00,79.081,2.159,0.212
0.758,54.00,79.835,2.159,0.210
0.781,55.00,80.581,2.159,0.207
0.803,56.00,81.318,2.159,0.205
0.826,57.00,82.047,2.159,0.203
0.849,58.00,82.768,2.159,0.200
0.872,59.00,83.482,2.159,0.198
0.895,60.00,84.188,2.159,0.196
0.919,61.00,84.886,2.159,0.194
0.942,62.00,85.578,2.159,0.192
0.966,63.00,86.262,2.159,0.190
0.990,64.00,86.940,2.159,0.188
1.014,65.00,87.611,2.159,0.186
1.039,66.00,88.275,2.159,0.185
1.064,67.00,88.934,2.159,0.183
1.088,68.00,89.586,2.159,0.181
1.113,69.00,90.232,2.159,0.179
1.138,70.00,90.872,2.159,0.178
1.164,71.00,91.506,2.159,0.176
1.189,72.00,92.134,2.159,0.175
1.215,73.00,92.757,2.159,0.173
1.241,74.00,93.375,2.159,0.172
1.267,75.00,93.987,2.159,0.170
1.293,76.00,94.594,2.159,0.169
1.319,77.00,95.196,2.159,0.167
1.346,78.00,95.792,2.159,0.166
