Order;Distance;Speed;Origen;Timingpoint;Brakingstatus;Action
1;629;0;None;Rtd;None;Stop
2;992;60;Sign;;None;None
3;1151;80;Sign;;None;None
4;3752;130;Sign;;None;None
5;8383;140;Sign;;None;None
6;10477;0;None;Rta;None;Stop
7;14797;130;Sign;;Start;None
8;15557;130;Sign;;End;None
9;16272;130;Sign;;None;None
10;22067;60;Signal;;Start;None
11;23139;60;Signal;;End;None
12;24038;80;Sign;;None;None
13;24065;60;Signal;;End;None
14;24287;80;Sign;;None;None
15;24299;0;None;Gd;None;Stop
16;24741;130;Sign;;None;None
17;37446;140;Sign;;None;None
18;52103;130;Sign;;Start;None
19;53116;130;Sign;;End;None
20;53985;80;Sign;;Start;None
21;55157;80;Sign;;End;None
22;55604;40;Signal;;Start;None
23;56493;0;None;Ut;None;Stop
24;56501;40;Signal;;End;None
