Distance (km),Time (s),Velocity (km/h),Acceleration (m/s²),Power (MW)
0.000,0.00,0.000,0.000,0.000
0.025,8.09,22.243,0.764,2.399
0.050,11.58,29.416,0.572,2.399
0.075,14.40,34.355,0.486,2.399
0.100,16.88,38.232,0.434,2.399
0.125,19.14,41.470,0.398,2.399
0.150,21.24,44.275,0.371,2.399
0.175,23.21,46.766,0.350,2.399
0.200,25.09,49.015,0.332,2.399
0.225,26.89,51.073,0.318,2.399
0.250,28.62,52.975,0.305,2.399
0.275,30.29,54.745,0.294,2.399
0.300,31.91,56.405,0.285,2.399
0.325,33.49,57.970,0.276,2.399
0.350,35.02,59.451,0.268,2.399
0.375,36.51,60.858,0.261,2.399
0.400,37.98,62.201,0.255,2.399
0.425,39.41,63.484,0.249,2.399
0.450,40.81,64.715,0.244,2.399
0.475,42.19,65.898,0.238,2.399
0.500,43.55,67.038,0.234,2.399
0.525,44.88,68.137,0.229,2.399
0.550,46.19,69.200,0.225,2.399
0.575,47.48,70.228,0.221,2.399
0.600,48.75,71.225,0.218,2.399
0.625,50.01,72.192,0.214,2.399
0.650,51.25,73.132,0.211,2.399
0.675,52.47,74.046,0.208,2.399
0.700,53.68,74.937,0.205,2.399
0.725,54.87,75.804,0.202,2.399
0.750,56.05,76.650,0.199,2.399
0.775,57.22,77.476,0.196,2.399
0.800,58.37,78.283,0.194,2.399
0.825,59.52,79.072,0.192,2.399
0.850,60.65,79.843,0.189,2.399
0.875,61.77,80.599,0.187,2.399
0.900,62.89,81.339,0.185,2.399
0.925,63.99,82.063,0.183,2.399
0.950,65.08,82.774,0.181,2.399
0.975,66.16,83.471,0.179,2.399
1.000,67.24,84.156,0.177,2.399
1.025,68.30,84.827,0.175,2.399
1.050,69.36,85.487,0.173,2.399
1.075,70.41,86.136,0.172,2.399
1.100,71.45,86.773,0.170,2.399
1.125,72.48,87.400,0.168,2.399
1.150,73.51,88.017,0.167,2.399
1.175,74.53,88.623,0.165,2.399
1.200,75.54,89.221,0.164,2.399
1.225,76.54,89.809,0.163,2.399
1.250,77.54,90.388,0.161,2.399
1.275,78.53,90.959,0.160,2.399
1.300,79.52,91.522,0.158,2.399
1.325,80.50,92.076,0.157,2.399
1.350,81.48,92.623,0.156,2.399
1.375,82.44,93.162,0.155,2.399
1.400,83.41,93.694,0.153,2.399
1.425,84.37,94.219,0.152,2.399
1.450,85.32,94.737,0.151,2.399
1.475,86.27,95.248,0.150,2.399
1.500,87.21,95.753,0.149,2.399
1.525,88.15,96.252,0.148,2.399
1.550,89.08,96.745,0.147,2.399
1.575,90.01,97.231,0.146,2.399
1.600,90.93,97.712,0.145,2.399
