Time(s),Initial_Profile,Profile_iter_1,Profile_iter_2
0,-0.09993245549670149,-0.06342839096794128,-0.09281258247648128
1,-0.09434078538786372,-0.09434078538786372,-0.09434078538786372
2,-0.09492492852877432,-0.09492492852877432,-0.09492492852877432
3,-0.09550899077029273,-0.09550899077029273,-0.09550899077029273
4,-0.09609294618667452,-0.09609294618667452,-0.09609294618667452
5,-0.09667676885852106,-0.09667676885852106,-0.09667676885852106
6,-0.097260432874409,-0.097260432874409,-0.097260432874409
7,-0.09784391233252099,-0.09784391233252099,-0.09784391233252099
8,-0.0984271813422739,-0.0984271813422739,-0.0984271813422739
9,-0.09901021402594845,-0.09901021402594845,-0.09901021402594845
10,-0.09959298452031562,-0.09959298452031562,-0.09959298452031562
11,-0.10017546697826374,-0.10017546697826374,-0.10017546697826374
12,-0.10075763557042328,-0.10075763557042328,-0.10075763557042328
13,-0.10133946448679199,-0.10133946448679199,-0.10133946448679199
14,-0.10192092793835617,-0.10192092793835617,-0.10192092793835617
15,-0.10250200015871269,-0.10250200015871269,-0.10250200015871269
16,-0.10308265540568884,-0.10308265540568884,-0.10308265540568884
17,-0.10366286796295965,-0.10366286796295965,-0.10366286796295965
18,-0.10424261214166464,-0.10424261214166464,-0.10424261214166464
19,-0.1048218622820214,-0.1048218622820214,-0.1048218622820214
20,-0.1054005927549383,-0.1054005927549383,-0.1054005927549383
21,-0.10597877796362443,-0.10597877796362443,-0.10597877796362443
22,-0.10655639234519776,-0.10655639234519776,-0.10655639234519776
23,-0.10713341037228952,-0.10713341037228952,-0.10713341037228952
24,-0.10770980655464812,-0.10770980655464812,-0.10770980655464812
25,-0.1082855554407397,-0.1082855554407397,-0.1082855554407397
26,-0.1088606316193449,-0.1088606316193449,-0.1088606316193449
27,-0.10943500972115494,-0.10943500972115494,-0.10943500972115494
28,-0.11000866442036283,-0.11000866442036283,-0.11000866442036283
29,-0.1105815704362525,-0.1105815704362525,-0.1105815704362525
30,-0.11115370253478529,-0.11115370253478529,-0.11115370253478529
31,-0.11172503553018132,-0.11172503553018132,-0.11172503553018132
32,-0.11229554428650068,-0.11229554428650068,-0.11229554428650068
33,-0.1128652037192176,-0.1128652037192176,-0.1128652037192176
34,-0.1134339887967939,-0.1134339887967939,-0.1134339887967939
