P_sub1_max: 1393000.0 W, P_sub2_max: 1393000 W
Braking Efficiency: 0.0%
Time(s), Velocity(km/h), Power (MW)
00:00, 0.000, 0.000000
00:01, 2.916, 0.127844
00:02, 5.832, 0.255711
00:03, 8.748, 0.383622
00:04, 11.664, 0.511600
00:05, 14.580, 0.639668
00:06, 17.496, 0.767847
00:07, 20.412, 0.896160
00:08, 23.328, 1.024629
00:09, 26.244, 1.153277
00:10, 29.160, 1.282125
00:11, 32.041, 1.393000
00:12, 34.693, 1.393000
00:13, 37.162, 1.393000
00:14, 39.479, 1.393000
00:15, 41.668, 1.393000
00:16, 43.747, 1.393000
00:17, 45.730, 1.393000
00:18, 47.629, 1.393000
00:19, 49.452, 1.393000
00:20, 51.208, 1.393000
00:21, 52.903, 1.393000
00:22, 54.541, 1.393000
00:23, 56.129, 1.393000
00:24, 57.670, 1.393000
00:25, 59.168, 1.393000
00:26, 60.625, 1.393000
00:27, 62.044, 1.393000
00:28, 63.429, 1.393000
00:29, 64.780, 1.393000
00:30, 66.101, 1.393000
00:31, 67.392, 1.393000
00:32, 68.655, 1.393000
00:33, 69.892, 1.393000
00:34, 71.105, 1.393000
00:35, 72.293, 1.393000
00:36, 73.459, 1.393000
00:37, 74.604, 1.393000
00:38, 75.728, 1.393000
00:39, 76.832, 1.393000
00:40, 77.917, 1.393000
00:41, 78.984, 1.393000
00:42, 80.034, 1.393000
00:43, 81.067, 1.393000
00:44, 82.083, 1.393000
00:45, 83.084, 1.393000
00:46, 84.070, 1.393000
00:47, 85.042, 1.393000
00:48, 85.999, 1.393000
00:49, 86.943, 1.393000
00:50, 87.873, 1.393000
00:51, 88.791, 1.393000
00:52, 89.696, 1.393000
00:53, 90.589, 1.393000
00:54, 91.470, 1.393000
00:55, 92.340, 1.393000
00:56, 93.199, 1.393000
00:57, 94.047, 1.393000
00:58, 94.885, 1.393000
00:59, 95.712, 1.393000
01:00, 96.529, 1.393000
01:01, 97.337, 1.393000
01:02, 98.135, 1.393000
01:03, 98.923, 1.393000
01:04, 99.703, 1.393000
01:05, 100.471, 1.389163
01:06, 101.161, 1.284127
01:07, 101.776, 1.182821
01:08, 102.321, 1.084991
01:09, 102.798, 0.990349
01:10, 103.212, 0.898579
01:11, 103.564, 0.809342
01:12, 103.857, 0.722282
01:13, 104.093, 0.637031
01:14, 104.272, 0.553210
01:15, 104.397, 0.470431
01:16, 104.468, 0.388303
01:17, 104.486, 0.306429
01:18, 104.450, 0.224411
01:19, 104.361, 0.141851
01:20, 104.218, 0.058349
01:21, 104.036, 0.000000
01:22, 103.855, 0.000000
01:23, 103.675, 0.000000
01:24, 103.495, 0.000000
01:25, 103.315, 0.000000
01:26, 103.136, 0.000000
01:27, 102.957, 0.000000
01:28, 102.779, 0.000000
01:29, 102.600, 0.000000
01:30, 102.423, 0.000000
01:31, 102.245, 0.000000
01:32, 102.068, 0.000000
01:33, 101.891, 0.000000
01:34, 101.715, 0.000000
01:35, 101.539, 0.000000
01:36, 101.363, 0.000000
01:37, 101.188, 0.000000
01:38, 101.013, 0.000000
01:39, 100.839, 0.000000
01:40, 100.665, 0.000000
01:41, 100.491, 0.000000
01:42, 100.317, 0.000000
01:43, 100.144, 0.000000
01:44, 99.972, 0.000000
01:45, 99.799, 0.000000
01:46, 99.627, 0.000000
01:47, 99.455, 0.000000
01:48, 99.284, 0.000000
01:49, 99.113, 0.000000
01:50, 98.942, 0.000000
01:51, 98.772, 0.000000
01:52, 98.602, 0.000000
01:53, 98.433, 0.000000
01:54, 98.263, 0.000000
01:55, 98.094, 0.000000
01:56, 97.926, 0.000000
01:57, 97.758, 0.000000
01:58, 97.590, 0.000000
01:59, 97.422, 0.000000
02:00, 97.255, 0.000000
02:01, 97.088, 0.000000
02:02, 96.921, 0.000000
02:03, 96.755, 0.000000
02:04, 96.589, 0.000000
02:05, 96.423, 0.000000
02:06, 96.258, 0.000000
02:07, 96.093, 0.000000
02:08, 95.928, 0.000000
02:09, 95.764, 0.000000
02:10, 95.600, 0.000000
02:11, 95.436, 0.000000
02:12, 95.273, 0.000000
02:13, 95.110, 0.000000
02:14, 94.947, 0.000000
02:15, 94.785, 0.000000
02:16, 94.623, 0.000000
02:17, 94.461, 0.000000
02:18, 94.300, 0.000000
02:19, 94.138, 0.000000
02:20, 93.978, 0.000000
02:21, 93.817, 0.000000
02:22, 93.657, 0.000000
02:23, 93.497, 0.000000
02:24, 93.337, 0.000000
02:25, 93.178, 0.000000
02:26, 93.019, 0.000000
02:27, 92.860, 0.000000
02:28, 92.702, 0.000000
02:29, 92.544, 0.000000
02:30, 92.386, 0.000000
02:31, 92.228, 0.000000
02:32, 92.071, 0.000000
02:33, 91.914, 0.000000
02:34, 91.757, 0.000000
02:35, 91.601, 0.000000
02:36, 91.445, 0.000000
02:37, 91.289, 0.000000
02:38, 91.134, 0.000000
02:39, 90.979, 0.000000
02:40, 90.824, 0.000000
02:41, 90.669, 0.000000
02:42, 90.515, 0.000000
02:43, 90.361, 0.000000
02:44, 90.207, 0.000000
02:45, 90.053, 0.000000
02:46, 89.900, 0.000000
02:47, 89.747, 0.000000
02:48, 89.595, 0.000000
02:49, 89.442, 0.000000
02:50, 89.290, 0.000000
02:51, 89.138, 0.000000
02:52, 88.987, 0.000000
02:53, 88.836, 0.000000
02:54, 88.685, 0.000000
02:55, 88.534, 0.000000
02:56, 88.384, 0.000000
02:57, 88.233, 0.000000
02:58, 88.083, 0.000000
