m,eta,braking_eff,max_acc,max_braking,max_p,total_time,delta_s,speed_limit_csv_path,Train_energy_consumption,max_velocity
390000,0.85,0.7,0.5,0.3,1500000,420,100,8,29.911,92.86
390000,0.85,0.7,0.5,0.3,1500000,420,100,10,46.36,128.53
390000,0.85,0.7,0.5,0.3,1500000,480,100,8,27.052,76.31
390000,0.85,0.7,0.5,0.3,1500000,480,100,10,38.003,101.0
390000,0.85,0.7,0.5,0.3,1500000,480,100,12,54.464,130.58
390000,0.85,0.7,0.5,0.3,2000000,360,100,8,35.716,114.99
390000,0.85,0.7,0.5,0.3,2000000,420,100,8,29.986,90.5
390000,0.85,0.7,0.5,0.3,2000000,420,100,10,44.245,121.23
390000,0.85,0.7,0.5,0.3,2000000,480,100,8,27.373,75.33
390000,0.85,0.7,0.5,0.3,2000000,480,100,10,37.945,97.76
390000,0.85,0.7,0.5,0.3,2000000,480,100,12,52.75,125.02
390000,0.85,0.7,0.5,0.3,2500000,360,100,8,35.212,112.95
390000,0.85,0.7,0.5,0.3,2500000,420,100,8,29.961,89.84
390000,0.85,0.7,0.5,0.3,2500000,420,100,10,43.729,119.23
390000,0.85,0.7,0.5,0.3,2500000,480,100,8,27.396,75.29
390000,0.85,0.7,0.5,0.3,2500000,480,100,10,37.876,96.77
390000,0.85,0.7,0.5,0.3,2500000,480,100,12,52.25,122.21
390000,0.85,0.7,0.5,0.5,1500000,360,100,8,35.438,110.47
390000,0.85,0.7,0.5,0.5,1500000,420,100,8,30.352,88.65
390000,0.85,0.7,0.5,0.5,1500000,420,100,10,43.987,117.35
390000,0.85,0.7,0.5,0.5,1500000,480,100,8,28.646,74.1
390000,0.85,0.7,0.5,0.5,1500000,480,100,10,38.194,95.96
390000,0.85,0.7,0.5,0.5,1500000,480,100,12,52.504,122.02
390000,0.85,0.7,0.5,0.5,2000000,360,100,8,34.807,106.57
390000,0.85,0.7,0.5,0.5,2000000,420,100,8,30.539,86.63
390000,0.85,0.7,0.5,0.5,2000000,420,100,10,43.242,113.3
390000,0.85,0.7,0.5,0.5,2000000,420,100,12,62.699,140.0
390000,0.85,0.7,0.5,0.5,2000000,480,100,8,29.017,73.32
390000,0.85,0.7,0.5,0.5,2000000,480,100,10,38.277,93.38
390000,0.85,0.7,0.5,0.5,2000000,480,100,12,51.72,116.57
390000,0.85,0.7,0.5,0.5,2500000,360,100,8,34.593,105.34
390000,0.85,0.7,0.5,0.5,2500000,360,100,10,53.138,140.0
390000,0.85,0.7,0.5,0.5,2500000,420,100,8,30.547,86.21
390000,0.85,0.7,0.5,0.5,2500000,420,100,10,42.982,111.56
390000,0.85,0.7,0.5,0.5,2500000,420,100,12,60.997,140.0
390000,0.85,0.7,0.5,0.5,2500000,480,100,8,29.039,73.29
390000,0.85,0.7,0.5,0.5,2500000,480,100,10,38.249,92.69
390000,0.85,0.7,0.5,0.5,2500000,480,100,12,51.426,114.38
390000,0.85,0.7,0.5,0.7,1500000,360,100,8,35.708,107.14
390000,0.85,0.7,0.5,0.7,1500000,420,100,8,32.112,87.31
390000,0.85,0.7,0.5,0.7,1500000,420,100,10,44.19,114.37
390000,0.85,0.7,0.5,0.7,1500000,480,100,8,28.727,74.05
390000,0.85,0.7,0.5,0.7,1500000,480,100,10,39.685,94.35
390000,0.85,0.7,0.5,0.7,1500000,480,100,12,52.691,118.9
390000,0.85,0.7,0.5,0.7,2000000,360,100,8,35.361,103.94
390000,0.85,0.7,0.5,0.7,2000000,360,100,10,53.635,139.27
390000,0.85,0.7,0.5,0.7,2000000,420,100,8,32.146,85.6
390000,0.85,0.7,0.5,0.7,2000000,420,100,10,43.708,110.52
390000,0.85,0.7,0.5,0.7,2000000,420,100,12,61.489,139.51
390000,0.85,0.7,0.5,0.7,2000000,480,100,8,29.017,73.32
