Distance (km),Velocity (km/h),Power (MW),Acceleration (m/s²)
0.000,0.000,0.000,0.000
0.002,5.832,0.000,0.810
0.006,11.664,0.256,0.810
0.015,17.496,0.512,0.810
0.026,23.328,0.768,0.810
0.041,29.160,1.025,0.810
0.058,34.992,1.282,0.810
0.079,40.250,1.393,0.730
0.103,44.791,1.393,0.631
0.129,48.846,1.393,0.563
0.157,52.541,1.393,0.513
0.187,55.956,1.393,0.474
0.219,59.143,1.393,0.443
0.253,62.139,1.393,0.416
0.288,64.973,1.393,0.394
0.325,67.667,1.393,0.374
0.363,70.237,1.393,0.357
0.403,72.697,1.393,0.342
0.444,75.058,1.393,0.328
0.486,77.331,1.393,0.316
0.530,79.521,1.393,0.304
0.575,81.638,1.393,0.294
0.621,83.685,1.393,0.284
0.668,85.669,1.393,0.275
0.716,87.593,1.393,0.267
0.765,89.462,1.393,0.260
0.815,91.278,1.393,0.252
0.866,93.046,1.393,0.246
0.919,94.768,1.393,0.239
0.972,96.446,1.393,0.233
1.026,98.082,1.393,0.227
1.081,99.679,1.393,0.222
1.136,101.239,1.393,0.217
1.193,102.763,1.393,0.212
1.251,104.253,1.393,0.207
1.309,105.710,1.393,0.202
1.368,107.136,1.393,0.198
1.428,108.532,1.393,0.194
1.489,109.898,1.393,0.190
1.550,111.237,1.393,0.186
1.612,112.549,1.393,0.182
1.675,113.836,1.393,0.179
1.739,115.097,1.393,0.175
1.803,116.334,1.393,0.172
1.868,117.547,1.393,0.169
1.934,118.738,1.393,0.165
2.000,119.908,1.393,0.162
2.067,120.960,1.393,0.159
2.134,120.960,0.391,0.000
2.201,120.960,0.391,0.000
2.268,120.960,0.391,0.000
2.336,120.960,0.391,0.000
2.403,120.960,0.391,0.000
2.470,120.960,0.391,0.000
2.537,120.960,0.391,0.000
2.604,120.960,0.391,0.000
2.672,120.960,0.391,0.000
2.739,120.960,0.391,0.000
2.806,120.960,0.391,0.000
2.873,120.960,0.391,0.000
2.940,120.960,0.391,0.000
3.008,120.960,0.391,0.000
3.075,120.960,0.391,0.000
3.142,120.960,0.391,0.000
3.209,120.960,0.391,0.000
3.276,120.960,0.391,0.000
3.344,120.960,0.391,0.000
3.411,120.960,0.391,0.000
3.478,120.960,0.391,0.000
3.545,120.960,0.391,0.000
3.612,120.960,0.391,0.000
3.680,120.960,0.391,0.000
3.747,120.960,0.391,0.000
3.814,120.960,0.391,0.000
3.881,120.960,0.391,0.000
3.948,120.960,0.391,0.000
4.016,120.960,0.391,0.000
4.083,120.960,0.391,0.000
4.150,120.960,0.391,0.000
4.217,120.960,0.391,0.000
4.284,120.960,0.391,0.000
4.352,120.960,0.391,0.000
4.419,120.960,0.391,0.000
4.486,120.960,0.391,0.000
4.553,120.960,0.391,0.000
4.620,120.960,0.391,0.000
4.688,120.960,0.391,0.000
4.755,120.960,0.391,0.000
4.822,120.960,0.391,0.000
4.889,120.960,0.391,0.000
4.956,120.960,0.391,0.000
5.024,120.960,0.391,0.000
5.091,120.960,0.391,0.000
5.158,120.960,0.391,0.000
5.225,120.960,0.391,0.000
5.292,120.960,0.391,0.000
5.360,120.960,0.391,0.000
5.427,120.960,0.391,0.000
5.494,120.960,0.391,0.000
5.561,120.960,0.391,0.000
5.628,120.960,0.391,0.000
5.696,120.960,0.391,0.000
5.763,120.960,0.391,0.000
5.830,120.960,0.391,0.000
5.897,120.960,0.391,0.000
5.964,120.960,0.391,0.000
6.032,120.960,0.391,0.000
6.099,120.960,0.391,0.000
6.166,120.960,0.391,0.000
6.233,120.960,0.391,0.000
6.300,120.960,0.391,0.000
6.368,120.960,0.391,0.000
6.435,120.960,0.391,0.000
6.502,120.960,0.391,0.000
6.569,120.960,0.391,0.000
6.636,120.960,0.391,0.000
6.704,120.960,0.391,0.000
6.771,120.960,0.391,0.000
6.838,120.960,0.391,0.000
6.905,120.960,0.391,0.000
6.972,120.960,0.391,0.000
7.040,120.960,0.391,0.000
7.107,120.960,0.391,0.000
7.174,120.960,0.391,0.000
7.241,120.960,0.391,0.000
7.308,120.960,0.391,0.000
7.376,120.960,0.391,0.000
7.443,120.960,0.391,0.000
7.510,120.960,0.391,0.000
7.577,120.960,0.391,0.000
7.644,120.960,0.391,0.000
7.712,120.960,0.391,0.000
7.779,120.960,0.391,0.000
7.846,120.960,0.391,0.000
7.913,120.960,0.391,0.000
7.980,120.960,0.391,0.000
8.048,120.960,0.391,0.000
8.115,120.960,0.391,0.000
8.182,120.960,0.391,0.000
8.249,120.960,0.391,0.000
8.316,120.960,0.391,0.000
8.384,120.960,0.391,0.000
8.451,120.960,0.391,0.000
8.518,120.960,0.391,0.000
8.585,120.960,0.391,0.000
8.652,120.960,0.391,0.000
8.720,120.960,0.391,0.000
8.787,120.960,0.391,0.000
8.854,120.960,0.391,0.000
8.921,120.960,0.391,0.000
8.988,120.960,0.391,0.000
9.056,120.960,0.391,0.000
9.123,120.960,0.391,0.000
9.190,120.960,0.391,0.000
9.257,120.960,0.391,0.000
9.324,120.960,0.391,0.000
9.392,120.960,0.391,0.000
9.459,120.960,0.391,0.000
9.526,120.960,0.391,0.000
9.593,120.960,0.391,0.000
9.660,120.960,0.391,0.000
9.728,120.960,0.391,0.000
9.795,120.960,0.391,0.000
9.862,120.960,0.391,0.000
9.929,120.960,0.391,0.000
9.996,120.960,0.391,0.000
10.064,120.960,0.391,0.000
10.131,120.960,0.391,0.000
10.198,120.960,0.391,0.000
10.265,120.960,0.391,0.000
10.332,120.960,0.391,0.000
10.400,120.960,0.391,0.000
10.467,120.960,0.391,0.000
10.534,120.960,0.391,0.000
10.601,120.960,0.391,0.000
10.668,120.960,0.391,0.000
10.736,120.960,0.391,0.000
10.803,120.960,0.391,0.000
10.870,120.960,0.391,0.000
10.937,120.960,0.391,0.000
11.004,120.960,0.391,0.000
11.072,120.960,0.391,0.000
11.139,120.960,0.391,0.000
11.206,120.960,0.391,0.000
11.273,120.960,0.391,0.000
11.340,120.960,0.391,0.000
11.408,120.960,0.391,0.000
11.475,120.960,0.391,0.000
11.542,120.960,0.391,0.000
11.609,120.960,0.391,0.000
11.676,120.960,0.391,0.000
11.744,120.960,0.391,0.000
11.811,120.960,0.391,0.000
11.878,120.960,0.391,0.000
11.945,120.960,0.391,0.000
12.012,120.960,0.391,0.000
12.080,120.960,0.391,0.000
12.147,120.960,0.391,0.000
12.214,120.960,0.391,0.000
12.281,120.960,0.391,0.000
12.348,120.960,0.391,0.000
12.416,120.960,0.391,0.000
12.483,120.960,0.391,0.000
12.550,120.960,0.391,0.000
12.617,120.960,0.391,0.000
12.684,120.960,0.391,0.000
12.752,120.960,0.391,0.000
12.819,120.960,0.391,0.000
12.886,120.960,0.391,0.000
12.953,120.960,0.391,0.000
13.020,120.960,0.391,0.000
13.088,120.960,0.391,0.000
13.155,120.960,0.391,0.000
13.222,120.960,0.391,0.000
13.289,120.960,0.391,0.000
13.356,120.960,0.391,0.000
13.424,120.960,0.391,0.000
13.491,120.960,0.391,0.000
13.558,120.960,0.391,0.000
13.625,120.960,0.391,0.000
13.692,120.960,0.391,0.000
13.760,120.960,0.391,0.000
13.827,120.960,0.391,0.000
13.894,120.960,0.391,0.000
13.961,120.960,0.391,0.000
14.028,120.960,0.391,0.000
14.096,120.960,0.391,0.000
14.163,120.960,0.391,0.000
14.230,120.960,0.391,0.000
14.297,120.960,0.391,0.000
14.364,120.960,0.391,0.000
14.432,120.960,0.391,0.000
14.499,120.960,0.391,0.000
14.566,120.960,0.391,0.000
14.633,120.960,0.391,0.000
14.700,120.960,0.391,0.000
14.768,120.960,0.391,0.000
14.835,120.960,0.391,0.000
14.902,120.960,0.391,0.000
14.969,120.960,0.391,0.000
15.036,120.960,0.391,0.000
15.104,120.960,0.391,0.000
15.171,120.960,0.391,0.000
15.238,120.960,0.391,0.000
15.305,120.960,0.391,0.000
