Distance (m),Velocity (m/s),Power (W)
0,0.0,0.0
30,6.945315661233072,2074668.3664941431
60,9.320313864673551,2159399.752863105
90,10.834480394422613,2159399.791331275
120,12.000417443862238,2159399.8133585528
150,12.965583771483411,2159399.8282242473
180,13.799413613300281,2159399.839229622
210,14.539288003860705,2159399.8478558455
240,15.207004065475825,2159399.854863368
270,15.817618070316565,2159399.860716124
300,16.381927491823603,2159399.865712787
330,16.90791929153065,2159399.870054353
360,17.40147231944611,2159399.873878454
390,17.86512395985391,2159399.8772566738
420,18.305080209176612,2159399.880302316
450,18.72406021514972,2159399.8830676475
480,19.122285104334118,2159399.8855698714
510,19.50454542088477,2159399.88787899
540,19.870205397742748,2159399.889995629
570,20.222591051810305,2159399.8919647294
600,20.561278666776037,2159399.8937871777
630,20.889081879349437,2159399.895497327
660,21.204882888142954,2159399.897087869
690,21.511488152288685,2159399.89858982
720,21.808249046126818,2159399.899999822
750,22.096376457202073,2159399.901331606
780,22.376928291421248,2159399.902596631
810,22.649063074405795,2159399.903789573
840,22.91438681575037,2159399.9049257864
870,23.173359609051964,2159399.906010347
900,23.425526005893055,2159399.9070409336
930,23.67173028008244,2159399.908025405
960,23.91253101502106,2159399.90896901
990,24.14816804199101,2159399.9098743685
1020,24.378135472473463,2159399.910738685
1050,24.603415576986713,2159399.9115698235
1080,24.824231996111234,2159399.9123699707
1110,25.040765669319676,2159399.9131409368
1140,25.253010293070083,2159399.9138832325
1170,25.46097295924366,2159399.91459747
1200,25.665184114235736,2159399.915287587
1230,25.86578354834304,2159399.915954875
1260,26.0629035824638,2159399.9166005347
1290,26.256669574575593,2159399.917225686
1320,26.44714273166771,2159399.9178310307
1350,26.634239604593166,2159399.9184164125
1380,26.818352058451758,2159399.918984439
1410,26.999579694356385,2159399.919535941
1440,27.178017303881774,2159399.920071694
1470,27.353755165008266,2159399.9205924287
1500,27.526879316178416,2159399.921098829
1530,27.69747181034539,2159399.9215915375
1560,27.86561095070927,2159399.9220711607
1590,28.031371509674287,2159399.922538268
1620,28.194824932414477,2159399.922993396
1650,28.355922932983486,2159399.923436459
1680,28.514861109066924,2159399.9238686096
1710,28.671702863029783,2159399.9242902994
1740,28.826507133180453,2159399.9247019454
1770,28.979330423225147,2159399.9251039457
1800,29.130226931321523,2159399.9254966746
1830,29.279248670875532,2159399.9258804885
1860,29.42644558369642,2159399.9262557244
1890,29.57186564607302,2159399.9266227027
1920,29.715554968286913,2159399.926981727
1950,29.857557888035704,2159399.9273330867
1980,29.997917058200645,2159399.927677056
2010,30.136673529357683,2159399.9280138966
2040,30.273866827399015,2159399.9283438576
2070,30.40953502660299,2159399.928667176
2100,30.543714818463716,2159399.9289840776
2130,30.676441576567488,2159399.929294779
2160,30.807749417780876,2159399.929599484
2190,30.937671259995373,2159399.929898389
2220,31.06623887665474,2159399.930191683
2250,31.19348294827443,2159399.930479545
2280,31.31943311114684,2159399.9307621447
2310,31.44411800341207,2159399.9310396486
2340,31.567565308660612,2159399.9313122123
2370,31.68980179722255,2159399.931579986
2400,31.81078850227737,2159399.9318428608
2430,31.93060531753345,2159399.932101194
2460,32.04928412675914,2159399.9323551483
2490,32.16684860804749,2159399.9326048507
2520,32.283321691348625,2159399.932850424
2550,32.3987255892637,2159399.933091986
2580,32.51308182629534,2159399.9333296497
2610,32.6264112666453,2159399.9335635235
2640,32.738734140643615,2159399.9337937115
2670,32.85007006988841,2159399.934020315
2700,32.96043809116991,2159399.93424343
2730,33.06985667924762,2159399.9344631494
2760,33.17834376854509,2159399.934679563
2790,33.28583790059047,2159399.934892481
2820,33.3924042694617,2159399.935102161
2850,33.498089544533414,2159399.9353087894
2880,33.60290977502319,2159399.9355124426
2910,33.70688055914301,2159399.935713196
2940,33.810017060731056,2159399.935911121
2970,33.9123340251333,2159399.9361062865
3000,34.01384579437453,2159399.936298761
3030,34.114566321656234,2159399.936488608
3060,34.21443677568159,2159399.9366756533
3090,34.31349149432826,2159399.936860031
3120,34.411795082592995,2159399.937041971
3150,34.50936010902496,2159399.937221528
3180,34.60619881421564,2159399.9373987573
3210,34.70232312208554,2159399.9375737114
